MillÇsime,Code rÇgion,Code EPCI,NOM EPCI,Code INSEE,Nom Commune,Code IRIS,IRIS,Numero,Lettre,Rue,Code CatÇgorie,Secteur d'activitÇ,Code_N1,LibellÇ_N1,Code_N2,LibellÇ_N2,Nombre de PDL,DonnÇes de consommation (MWh),donnÇes corrigÇes du climat,EPCI/EPT,LibellÇ de l'EPCI/EPT,Nature d'EPCI
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751155728,Saint-Lambert 28,134,,RUE LECOURBE,PRO,Tertiaire,,,,,1,"57,88011","62,064396861226",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176504,Ternes 4,1,,RUE DU DEBARCADERE,PRO,Tertiaire,,,,,1,"57,8746","62,0584885305973",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75110,PARIS 10E  ARRONDISSEMENT,751103806,Porte Saint-Denis 6,85,,BOULEVARD DE MAGENTA,PRO,Tertiaire,,,,,1,"57,87241","62,0561402104382",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75102,PARIS 2E  ARRONDISSEMENT,751020802,Bonne Nouvelle 2,R,,RUE MONTORGUEIL,PRO,Tertiaire,,,,,4,"57,86503","62,0482266931896",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75102,PARIS 2E  ARRONDISSEMENT,751020601,Vivienne 1,44,,RUE SAINTE ANNE,PRO,Tertiaire,,,,,2,"57,86278","62,0458140354918",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75109,PARIS 9E  ARRONDISSEMENT,751093310,Saint-Georges 10,3,,RUE VICTOR MASSE,PRO,Tertiaire,,,,,2,"57,85181","62,0340509888499",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176802,Epinettes 2,12,,RUE LA CONDAMINE,PRO,Tertiaire,,,,,1,"57,84791","62,0298690488405",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75116,PARIS 16E  ARRONDISSEMENT,751166215,Muette 15,4,,RUE DE PASSY,PRO,Tertiaire,,,,,2,"57,84233","62,0238856577501",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751156014,Javel 14,16,,RUE DES QUATRE FRERES PEIGNOT,PRO,Tertiaire,,,,,1,"57,83698","62,018148893891",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75103,PARIS 3E  ARRONDISSEMENT,751030905,Arts et Metiers 5,98,,BOULEVARD DE SEBASTOPOL,PRO,Tertiaire,,,,,3,"57,83591","62,0170015411192",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75119,PARIS 19E  ARRONDISSEMENT,751197408,Pont de Flandre 8,R,,RUE DE L OURCQ,PRO,Tertiaire,,,,,3,"57,83487","62,0158863571167",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176502,Ternes 2,26,,RUE BRUNEL,PRO,Tertiaire,,,,,1,"57,83387","62,0148140648066",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207903,Pere Lachaise 3,39,,RUE STENDHAL,ENT,Tertiaire,N,ActivitÇs de services administratifs et de soutien,81,Services relatifs aux bÉtiments et amÇnagement paysager,1,"57,83213","62,012948276187",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75116,PARIS 16E  ARRONDISSEMENT,751166209,Muette 9,117,,RUE DE LA TOUR,PRO,Tertiaire,,,,,1,"57,83006","62,0107286311051",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75101,PARIS 1ER ARRONDISSEMENT,751010204,Les Halles 4,32,,RUE MONTORGUEIL,PRO,Tertiaire,,,,,2,"57,81623","61,9958988284563",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75114,PARIS 14E  ARRONDISSEMENT,751145516,Petit Montrouge 16,R,,RUE GASSENDI,PRO,Tertiaire,,,,,2,"57,80938","61,988553626132",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75113,PARIS 13E  ARRONDISSEMENT,751134901,Salpetriere 1,3,,QUAI D AUSTERLITZ,PRO,Tertiaire,,,,,1,"57,80142","61,9800181793436",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751208013,Charonne 13,,,Somme des donnÇes secrÇtisÇes IRIS (Charonne 13),PRO,Tertiaire,,,,,8,"57,80095","61,9795142019578",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75109,PARIS 9E  ARRONDISSEMENT,751093303,Saint-Georges 3,R,,RUE LA BRUYERE,PRO,Tertiaire,,,,,3,"57,78787","61,9654886185416",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75105,PARIS 5E  ARRONDISSEMENT,751051702,Saint-Victor 2,13,,RUE LINNE,PRO,Tertiaire,,,,,2,"57,7852","61,9626255980736",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75111,PARIS 11E  ARRONDISSEMENT,751114310,Roquette 10,66,,RUE DE LA ROQUETTE,PRO,Tertiaire,,,,,1,"57,77147","61,9479030246558",217500016,T1-Ville de Paris,EPT
